日期,國家,城市,項目,次數,min,max,median,variance
2021-05-06,TW,Taitung City,pm25,46,9.0,177.0,34.0,6103.77
2021-05-18,TW,Taitung City,pm25,37,9.0,34.0,17.0,564.32
2021-07-21,TW,Taitung City,pm25,27,21.0,50.0,25.0,576.15
2021-02-18,TW,Taitung City,pm25,48,46.0,87.0,63.0,679.57
2021-02-19,TW,Taitung City,pm25,46,13.0,70.0,50.0,1539.27
2021-03-27,TW,Taitung City,pm25,47,17.0,53.0,34.0,702.53
2021-04-18,TW,Taitung City,pm25,48,46.0,152.0,68.0,5865.60
2021-06-26,TW,Taitung City,pm25,20,9.0,34.0,17.0,656.84
2021-07-31,TW,Taitung City,pm25,22,21.0,46.0,25.0,350.13
2020-12-31,TW,Taitung City,pm25,48,38.0,70.0,55.0,345.09
2021-01-19,TW,Taitung City,pm25,46,13.0,70.0,42.0,1641.36
2021-04-12,TW,Taitung City,pm25,46,9.0,53.0,21.0,1237.87
2021-07-04,TW,Taitung City,pm25,11,21.0,59.0,30.0,1156.91
2021-08-13,TW,Taitung City,pm25,28,21.0,38.0,25.0,282.47
2021-08-16,TW,Taitung City,pm25,20,21.0,50.0,25.0,621.05
2021-01-18,TW,Taitung City,pm25,44,25.0,74.0,42.0,1826.26
2021-04-11,TW,Taitung City,pm25,43,9.0,38.0,21.0,472.18
2021-06-30,TW,Taitung City,pm25,45,9.0,46.0,21.0,1135.18
2021-03-19,TW,Taitung City,pm25,45,9.0,59.0,30.0,1959.27
2021-07-10,TW,Taitung City,pm25,7,21.0,34.0,25.0,286.67
2021-09-25,TW,Taitung City,pm25,34,21.0,59.0,38.0,1525.89
2021-01-26,TW,Taitung City,pm25,45,34.0,76.0,55.0,731.04
2021-07-25,TW,Taitung City,pm25,41,21.0,53.0,34.0,595.56
2021-08-02,TW,Taitung City,pm25,16,21.0,42.0,25.0,386.50
2021-06-29,TW,Taitung City,pm25,42,9.0,50.0,21.0,1031.54
2021-09-26,TW,Taitung City,pm25,48,21.0,76.0,46.0,1323.39
2021-02-05,TW,Taitung City,pm25,48,13.0,68.0,42.0,1594.89
2021-02-08,TW,Taitung City,pm25,46,21.0,57.0,42.0,857.49
